TrackId,SongName,Artist,SpotifyArtistId,ReleaseDate,Label
3hUz1s8RebRDcGTlKgjU3o,I'm Gone,Tomine Harket,6064pL9Hu3Wx2bwJMeOx6o,5/8/2020,MADE Records
3i4KV1BMSf4iiWXHo2OGnK,i should be happy,lovelytheband,4KJ6jujcNPzOyhdNoiNftp,5/8/2020,Another Century
3ibvL65C2oK1eREBHceJWg,Forget U Now,Freaky DJs,2tZINeGiB74TsojN6RF0b0,5/8/2020,Teamwrk Records
3IYOqpmlznRUvvmxrVDRR3,Turnt Up Party,DJ Epps,0ILDQSalmp1pOq619M3MtG,5/8/2020,DJ Epps
3IzYy3AdSWMX4uojNyS596,Off My Mind,ManyFew,7oZdp9UWjuC68LeJSYeKZL,5/8/2020,SPRS
3JtAkTDcbFJ3jqamRGtLj8,Coast To Coast,NAV,7rkW85dBwwrJtlHRDkJDAC,5/8/2020,Republic Records
3JyhgPkHVm8FPvj1sVQ0lA,Skinny Jeans,Jesper Jenset,4Q6zYbQ2MrKiEWTGB3yrPv,5/8/2020,RCA Records Label
3K9ySmFGHjuukEaAgkWYlA,Unstoppable,Daimo,15GhpQZ0eA0cFpF9vx8YSc,5/8/2020,1715798 Records DK
3LcEOAeBvTz7kNvTfHJwWJ,"Call Me, I Still Love You - Extended Version",Two Feet,5sWHDYs0csV6RS48xBl0tH,5/8/2020,Republic Records
3LoFCUO1opStNDgsNLZX28,OG Now,Futuristic,5Z5jUyiNvFaqp0EVyLNf0p,5/8/2020,Dropout Records
3n6sbxQAZAnIoQLFNl7fXI,To the Sea,Booka Shade,2CKaDZ1Yo8YnWega9IeUzB,5/8/2020,Blaufield Music
3p6aRY0ePa28UM85z9X8iS,Good Intentions (Intro),NAV,7rkW85dBwwrJtlHRDkJDAC,5/8/2020,Republic Records
3pKhHR7d9U89NGrCz9Uw5I,Man Down,Rapzilla,2fWSzxY0pvctdhX3Vk2Fav,5/8/2020,Nixnation
3Q9lVkP42X1tjFOtBJ5NXS,"Churchbells, Ghosts",Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,5/8/2020,Heavenly Recordings
3qKzESguQJ7GpqWf6K2hOE,Los Abrazos Prohibidos,Vetusta Morla,6J6yx1t3nwIDyPXk5xa7O8,5/8/2020,Pequeño Salto Mortal
3QovtbUvmxov25p6qpHRNC,Unknown Song,Joe Goddard,380fnmlGnkyueBMqGWx2k5,5/8/2020,Domino Recording Co
3QVCgNJ0Dk1H7QWD8g92cq,Get To Know You,TAELA,0UpJN0IU36gOyMJLHYHTYq,5/8/2020,TAELA MUSIC LLC / Vimilolina Inc.
3reRLsNedH6TUjOY0oywP7,Raindrops,MadTing,4dXa6AhDwy7sFrlu3YOldZ,5/8/2020,Jendex Plus
3rfPuNpqMHQKXIPoEF5iFB,Qual é a do amor (feat. Atitude 67) - Ao vivo,João Gustavo e Murilo,6xerOqBLmelL3xZNZkVbGl,5/8/2020,WM Brazil
3rHWAE74VWsriN42xLv7vc,GENESIS,KYMERA,4wUz51269bAui4R34XpZRG,5/8/2020,KYMERA
3S9O49bgTliOhaZqVvSnjo,Falling for You,Ravian,45txYuLVBS8aNLBgVmyX1r,5/8/2020,Jendex Plus
3SC537085UVFKO5lnsKNKb,Risk - Galimatias Version,FKJ,2FwDTncULUnmANIh7qKa5z,5/8/2020,Roche Musique
3sCBrtky7hfDj93vW0mjVk,IMPATIENT,SEBASTIAN PAUL,1tQu5TjcAK68fx8qrc8ZgF,5/8/2020,SEBASTIAN PAUL
3ThhCGgBw6YmoWOK8rnslq,Lie With You,TODIIX,5dH56mquzTg0L5qjmeiUqf,5/8/2020,Spinnup
3TRQzboyYaL9kaiBAqT38N,Back to You,Wriddyl,7uS5YHoPZq8FRefxqWQTaB,5/8/2020,Will Bochkay
3TwoxNhRgDVJ2Le3Hxn80u,I've Got More,Santyna,5aGyIxTQKuIwwSr3BCCb7K,5/8/2020,Finesse Productions
3VzKmQVieC69XvJ1ziQaox,One Shot,Aleksander Vidakovic,09en4OLIKvZVEgaOC2Z1df,5/8/2020,Phil Phauler & Aleksandar Vidakovic
3w4dbcPZuXnJpfee7abDgr,No Saint,Tobi Cherrix,4oTy5TCLpeMxkrmQ45f08B,5/8/2020,CHARGE RCRDS
3X2mi0VvTofhMXu4VND1Yh,Shock Therapy,Biometrix,2qZwOcOK5pr8WaNJWvuZd2,5/8/2020,The FifthGuys
3xAckwaynGsHVVSyI9O0mT,Big,Elternhouse,2T0Pjvt0kNuyw1nE3s56wj,5/8/2020,Rawsome Recordings
3Xsa5wwlo7RxTUeEXmsy4v,Savannah,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,5/8/2020,Eternal Nights
3yydZof4pq6N4zeyTzLwQk,Passion,RAC,4AGwPDdh1y8hochNzHy5HC,5/8/2020,Counter Records
3ZNSSpFc8IfS4UYwww1Euv,Viciar em mim (feat. Analaga) - Ao vivo,João Gustavo e Murilo,6xerOqBLmelL3xZNZkVbGl,5/8/2020,WM Brazil
3zxqTe4ukZgMl7CwCg0U3b,Red Dress,BRAN,44CMqAkutKvmCaE2OxyCbd,5/8/2020,Nightblue Music
40DbNmwrqns3YSYiWBRsXL,Spend It (feat. Young Thug),NAV,7rkW85dBwwrJtlHRDkJDAC,5/8/2020,Republic Records
40p6FhKR5NP4BAnlfUEnF0,Abertura,Davi Sabbag,5XqH779LPE3MY0wFSg9JY8,5/8/2020,Davi
42pYjjb17ZCMWLO99pi4Sq,My Stoning,Elenee Young,2l36tLaJoSXr3wiDstar9d,5/8/2020,Vanquish Records
43WhBVCWNE2zpG65810FPs,Boogieman (feat. Don Patricio) - Remix,Ghali,3egWSWp7Y4FyCKIyvXbw7L,5/8/2020,WM Italy
45w7ozdvGlFWQ7NkSr7f44,Love & Games,A.J. Willis,7GRbn9zQyvla92I4UnBxZS,5/8/2020,Skylar Records
